weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,Income: Total households,"Income: #, Household income less than $35,000","Income: %, Household income less than $35,000","Income: #, Household income $35,000 to $74,999","Income: %, Household income $35,000 to $74,999","Income: #, Household income $75,000 to $200,000","Income: %, Household income $75,000 to $200,000","Income: #, Household income $200,000 or more","Income: %, Household income $200,000 or more",Income: Median household income
[object GeneralizedGeometry],32155,WARREN,24.3,71.6,Warren,[object GeneralizedGeometry],2125,1254,59,502,23.6,347,16.3,22,1,29176
[object GeneralizedGeometry],31441,WASHINGTON,21.9,71.3,Washington,[object GeneralizedGeometry],7230,3530,48.8,2067,28.6,1533,21.2,100,1.4,37932
[object GeneralizedGeometry],36496,WAYNE,24.6,71.9,Wayne,[object GeneralizedGeometry],10066,4550,45.2,3176,31.6,2205,21.9,135,1.3,38955
[object GeneralizedGeometry],29926,WEBSTER,20.4,70,Webster,[object GeneralizedGeometry],1062,498,46.9,373,35.1,187,17.6,4,0.4,37063
[object GeneralizedGeometry],27601,WHEELER,28.3,71.6,Wheeler,[object GeneralizedGeometry],2012,1209,60.1,547,27.2,256,12.7,0,0,27620
[object GeneralizedGeometry],40720,WHITE,16.9,75,White,[object GeneralizedGeometry],11316,5081,44.9,3807,33.6,2244,19.8,184,1.6,40888
[object GeneralizedGeometry],41832,WHITFIELD,19.4,74.1,Whitfield,[object GeneralizedGeometry],34575,15006,43.4,11789,34.1,6766,19.6,1014,2.9,40596
[object GeneralizedGeometry],31509,WILCOX,25.7,72.2,Wilcox,[object GeneralizedGeometry],2742,1460,53.2,836,30.5,437,15.9,9,0.3,32043
[object GeneralizedGeometry],28224,WILKES,26,71.2,Wilkes,[object GeneralizedGeometry],4006,2143,53.5,1237,30.9,588,14.7,38,0.9,32727
[object GeneralizedGeometry],40331,WILKINSON,21.5,72.9,Wilkinson,[object GeneralizedGeometry],3313,1497,45.2,1276,38.5,527,15.9,13,0.4,38485
[object GeneralizedGeometry],39205,WORTH,23.9,72.9,Worth,[object GeneralizedGeometry],7924,3795,47.9,2654,33.5,1394,17.6,81,1,37974
