weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,FIPS,County,"Death Rate, 2011-2013","Years of life lost before age 75, per 100K pop, 2011-2013","Years of potential life lost (YPLL) before age 75, 2011-2013","% deaths due to external causes (car wrecks, homicides, suicides, etc), 2011-2013","# deaths due to external causes (car wrecks, homicides, suicides, etc), 2011-2013","% of deaths due to major respiratory disease, 2011-2013","# of deaths due to major respiratory disease, 2011-2013","% deaths due to infectious, parasitic diseases, 2011-2013"
[object GeneralizedGeometry],81242,FAYETTE,16,79,Fayette,[object GeneralizedGeometry],13113,Fayette,692.1,4811,14684,5.7,128,10.5,235,18.2
[object GeneralizedGeometry],41442,FLOYD,20.3,73.4,Floyd,[object GeneralizedGeometry],13115,Floyd,"1,062.20",9146,24587,7,214,10.6,324,25.7
[object GeneralizedGeometry],87585,FORSYTH,14.5,79.2,Forsyth,[object GeneralizedGeometry],13117,Forsyth,491.2,4443,24204,9.2,256,9.9,274,12
[object GeneralizedGeometry],32179,FRANKLIN,23,71.5,Franklin,[object GeneralizedGeometry],13119,Franklin,"1,202.70",10351,6289,7.2,57,9.4,74,28.9
[object GeneralizedGeometry],57664,FULTON,17.5,74.8,Fulton,[object GeneralizedGeometry],13121,Fulton,596.2,6354,177614,8.4,1452,7.2,1249,28.3
[object GeneralizedGeometry],37257,GILMER,20.7,74.5,Gilmer,[object GeneralizedGeometry],13123,Gilmer,852,7048,5563,7.7,56,11.3,82,18.8
[object GeneralizedGeometry],32346,GLASCOCK,25.4,71.6,Glascock,[object GeneralizedGeometry],13125,Glascock,"1,275.70",10870,940,7.6,9,11.8,14,""
[object GeneralizedGeometry],49986,GLYNN,22,72.7,Glynn,[object GeneralizedGeometry],13127,Glynn,969.5,8265,18751,6.6,155,11.5,272,26.3
[object GeneralizedGeometry],40661,GORDON,20.3,72.7,Gordon,[object GeneralizedGeometry],13129,Gordon,841.2,8151,12978,7.4,104,11.7,164,23.3
[object GeneralizedGeometry],32206,GRADY,18.2,73.3,Grady,[object GeneralizedGeometry],13131,Grady,984.6,9235,6577,7.5,56,8.2,61,22.4
