weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,2010 Population,2010 White Population,% 2010 White Population,2010 Black Population,% 2010 Black Population,2010 Asian Population,% 2010 Asian Population,2010 Hispanic Population,% 2010 Hispanic Population,2010 Other Population
[object GeneralizedGeometry],35647,HART,21.1,73.7,Hart,[object GeneralizedGeometry],25213,19213,76.2,4691,18.6,211,0.8,786,3.1,312
[object GeneralizedGeometry],39947,HEARD,18.9,72.7,Heard,[object GeneralizedGeometry],11834,10190,86.1,1152,9.7,56,0.5,223,1.9,213
[object GeneralizedGeometry],62377,HENRY,15.5,74.9,Henry,[object GeneralizedGeometry],203922,107083,52.5,74056,36.3,5902,2.9,11813,5.8,5068
[object GeneralizedGeometry],56265,HOUSTON,21,74.5,Houston,[object GeneralizedGeometry],139900,84703,60.5,39535,28.3,3360,2.4,8515,6.1,3787
[object GeneralizedGeometry],38770,IRWIN,25.8,70.8,Irwin,[object GeneralizedGeometry],9538,6719,70.4,2459,25.8,61,0.6,228,2.4,71
[object GeneralizedGeometry],53393,JACKSON,19.4,73.9,Jackson,[object GeneralizedGeometry],60485,50695,83.8,4050,6.7,1026,1.7,3736,6.2,978
[object GeneralizedGeometry],43768,JASPER,19,72.9,Jasper,[object GeneralizedGeometry],13900,10095,72.6,3030,21.8,30,0.2,510,3.7,235
[object GeneralizedGeometry],35203,JEFF DAVIS,28.5,69.8,Jeff Davis,[object GeneralizedGeometry],15068,11056,73.4,2212,14.7,70,0.5,1577,10.5,153
[object GeneralizedGeometry],27612,JEFFERSON,24.4,69.7,Jefferson,[object GeneralizedGeometry],16930,7015,41.4,9187,54.3,64,0.4,517,3.1,147
[object GeneralizedGeometry],27039,JENKINS,23.5,70.6,Jenkins,[object GeneralizedGeometry],8340,4508,54.1,3353,40.2,36,0.4,334,4,109
[object GeneralizedGeometry],34521,JOHNSON,25.9,72.9,Johnson,[object GeneralizedGeometry],9980,6219,62.3,3461,34.7,22,0.2,186,1.9,92
[object GeneralizedGeometry],53085,JONES,18,74.7,Jones,[object GeneralizedGeometry],28669,20830,72.7,6977,24.3,186,0.6,315,1.1,361
[object GeneralizedGeometry],39224,LAMAR,18.5,72.6,Lamar,[object GeneralizedGeometry],18317,11943,65.2,5621,30.7,68,0.4,341,1.9,344
[object GeneralizedGeometry],41867,LANIER,24.3,70.6,Lanier,[object GeneralizedGeometry],10078,6899,68.5,2367,23.5,101,1,461,4.6,250
[object GeneralizedGeometry],35912,LAURENS,25.9,72.3,Laurens,[object GeneralizedGeometry],48434,28920,59.7,17268,35.7,478,1,1143,2.4,625
[object GeneralizedGeometry],58400,LEE,17.4,75.8,Lee,[object GeneralizedGeometry],28298,21453,75.8,5239,18.5,609,2.2,560,2,437
[object GeneralizedGeometry],44295,LIBERTY,17.4,73.8,Liberty,[object GeneralizedGeometry],63453,27085,42.7,26018,41,1182,1.9,6159,9.7,3009
[object GeneralizedGeometry],34347,LINCOLN,26.8,71.2,Lincoln,[object GeneralizedGeometry],7996,5201,65,2562,32,32,0.4,98,1.2,103
[object GeneralizedGeometry],40044,LONG,21.8,74.1,Long,[object GeneralizedGeometry],14464,8491,58.7,3541,24.5,110,0.8,1778,12.3,544
[object GeneralizedGeometry],38348,LOWNDES,19.6,72.1,Lowndes,[object GeneralizedGeometry],109233,61234,56.1,38815,35.5,1561,1.4,5238,4.8,2385
[object GeneralizedGeometry],44595,LUMPKIN,19.2,75.3,Lumpkin,[object GeneralizedGeometry],29966,27519,91.8,310,1,133,0.4,1344,4.5,660
[object GeneralizedGeometry],38855,MCDUFFIE,21.9,70.3,McDuffie,[object GeneralizedGeometry],21875,12310,56.3,8661,39.6,74,0.3,475,2.2,355
[object GeneralizedGeometry],39506,MCINTOSH,21.1,74.1,McIntosh,[object GeneralizedGeometry],14333,8716,60.8,5132,35.8,45,0.3,227,1.6,213
[object GeneralizedGeometry],30906,MACON,23.4,72.6,Macon,[object GeneralizedGeometry],14740,4961,33.7,8902,60.4,190,1.3,527,3.6,160
[object GeneralizedGeometry],41404,MADISON,20.5,72.4,Madison,[object GeneralizedGeometry],28120,24106,85.7,2320,8.3,173,0.6,1139,4.1,382
[object GeneralizedGeometry],33875,MARION,18.7,72.8,Marion,[object GeneralizedGeometry],8742,5100,58.3,2837,32.5,77,0.9,570,6.5,158
[object GeneralizedGeometry],37660,MERIWETHER,25,70,Meriwether,[object GeneralizedGeometry],21992,12606,57.3,8583,39,141,0.6,347,1.6,315
[object GeneralizedGeometry],32432,MILLER,32.3,72.9,Miller,[object GeneralizedGeometry],6125,4237,69.2,1697,27.7,23,0.4,93,1.5,75
[object GeneralizedGeometry],32838,MITCHELL,18.1,71.1,Mitchell,[object GeneralizedGeometry],23498,10894,46.4,11185,47.6,120,0.5,1028,4.4,271
[object GeneralizedGeometry],47323,MONROE,19.3,74,Monroe,[object GeneralizedGeometry],26424,19101,72.3,6249,23.6,209,0.8,535,2,330
[object GeneralizedGeometry],33569,MONTGOMERY,21.7,71.6,Montgomery,[object GeneralizedGeometry],9123,6144,67.3,2372,26,26,0.3,480,5.3,101
[object GeneralizedGeometry],44908,MORGAN,20.1,74.8,Morgan,[object GeneralizedGeometry],17868,12814,71.7,4199,23.5,106,0.6,494,2.8,255
[object GeneralizedGeometry],36928,MURRAY,21.9,72.2,Murray,[object GeneralizedGeometry],39628,33666,85,212,0.5,110,0.3,5154,13,486
[object GeneralizedGeometry],41443,MUSCOGEE,19,71.6,Muscogee,[object GeneralizedGeometry],189885,82890,43.7,85119,44.8,4061,2.1,12110,6.4,5705
[object GeneralizedGeometry],51336,NEWTON,20.2,73.7,Newton,[object GeneralizedGeometry],99958,51995,52,40371,40.4,881,0.9,4635,4.6,2076
[object GeneralizedGeometry],77571,OCONEE,17,77.3,Oconee,[object GeneralizedGeometry],32808,28306,86.3,1610,4.9,1016,3.1,1436,4.4,440
[object GeneralizedGeometry],42428,OGLETHORPE,19.9,73.3,Oglethorpe,[object GeneralizedGeometry],14899,11429,76.7,2557,17.2,65,0.4,546,3.7,302
[object GeneralizedGeometry],63190,PAULDING,16,75.3,Paulding,[object GeneralizedGeometry],142324,106739,75,23810,16.7,1237,0.9,7264,5.1,3274
[object GeneralizedGeometry],41488,PEACH,22.5,69.2,Peach,[object GeneralizedGeometry],27695,12499,45.1,12647,45.7,222,0.8,1890,6.8,437
[object GeneralizedGeometry],50829,PICKENS,20.1,74.9,Pickens,[object GeneralizedGeometry],29431,27802,94.5,297,1,118,0.4,819,2.8,395
[object GeneralizedGeometry],39326,PIERCE,24,70.4,Pierce,[object GeneralizedGeometry],18758,15860,84.6,1646,8.8,58,0.3,887,4.7,307
