weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,Total Population,Under 5 years,% Under 5 Years,5 to 14 years,% 5 to 14 years,15 to 19 years,% 15 to 19 years,20 to 29 years,% 20 to 29 years,30 to 44 years
[object GeneralizedGeometry],35647,HART,21.1,73.7,Hart,[object GeneralizedGeometry],25213,1542,6.1,3112,12.3,1599,6.3,2647,10.5,4501
[object GeneralizedGeometry],39947,HEARD,18.9,72.7,Heard,[object GeneralizedGeometry],11834,746,6.3,1709,14.4,929,7.9,1255,10.6,2333
[object GeneralizedGeometry],62377,HENRY,15.5,74.9,Henry,[object GeneralizedGeometry],203922,13835,6.8,34745,17,16891,8.3,22109,10.8,48000
[object GeneralizedGeometry],56265,HOUSTON,21,74.5,Houston,[object GeneralizedGeometry],139900,10211,7.3,20624,14.7,10563,7.6,20121,14.4,28215
[object GeneralizedGeometry],38770,IRWIN,25.8,70.8,Irwin,[object GeneralizedGeometry],9538,602,6.3,1326,13.9,639,6.7,1156,12.1,1881
[object GeneralizedGeometry],53393,JACKSON,19.4,73.9,Jackson,[object GeneralizedGeometry],60485,4313,7.1,9141,15.1,4101,6.8,6884,11.4,13266
[object GeneralizedGeometry],43768,JASPER,19,72.9,Jasper,[object GeneralizedGeometry],13900,946,6.8,1944,14,937,6.7,1623,11.7,2659
[object GeneralizedGeometry],35203,JEFF DAVIS,28.5,69.8,Jeff Davis,[object GeneralizedGeometry],15068,1183,7.9,2341,15.5,1033,6.9,1842,12.2,2895
[object GeneralizedGeometry],27612,JEFFERSON,24.4,69.7,Jefferson,[object GeneralizedGeometry],16930,1171,6.9,2360,13.9,1177,7,2034,12,3079
[object GeneralizedGeometry],27039,JENKINS,23.5,70.6,Jenkins,[object GeneralizedGeometry],8340,613,7.4,1249,15,636,7.6,912,10.9,1423
[object GeneralizedGeometry],34521,JOHNSON,25.9,72.9,Johnson,[object GeneralizedGeometry],9980,550,5.5,1199,12,540,5.4,1243,12.5,2133
[object GeneralizedGeometry],53085,JONES,18,74.7,Jones,[object GeneralizedGeometry],28669,1890,6.6,4224,14.7,2103,7.3,3011,10.5,5724
[object GeneralizedGeometry],39224,LAMAR,18.5,72.6,Lamar,[object GeneralizedGeometry],18317,1087,5.9,2119,11.6,1897,10.4,2480,13.5,3275
[object GeneralizedGeometry],41867,LANIER,24.3,70.6,Lanier,[object GeneralizedGeometry],10078,896,8.9,1435,14.2,687,6.8,1566,15.5,2005
[object GeneralizedGeometry],35912,LAURENS,25.9,72.3,Laurens,[object GeneralizedGeometry],48434,3462,7.1,6804,14,3535,7.3,5681,11.7,9266
[object GeneralizedGeometry],58400,LEE,17.4,75.8,Lee,[object GeneralizedGeometry],28298,1865,6.6,4663,16.5,2182,7.7,3143,11.1,6365
[object GeneralizedGeometry],44295,LIBERTY,17.4,73.8,Liberty,[object GeneralizedGeometry],63453,6552,10.3,9784,15.4,4997,7.9,12711,20,12204
[object GeneralizedGeometry],34347,LINCOLN,26.8,71.2,Lincoln,[object GeneralizedGeometry],7996,420,5.3,897,11.2,539,6.7,806,10.1,1340
[object GeneralizedGeometry],40044,LONG,21.8,74.1,Long,[object GeneralizedGeometry],14464,1355,9.4,2386,16.5,1097,7.6,2265,15.7,3070
[object GeneralizedGeometry],38348,LOWNDES,19.6,72.1,Lowndes,[object GeneralizedGeometry],109233,8264,7.6,14449,13.2,9923,9.1,22153,20.3,20053
[object GeneralizedGeometry],44595,LUMPKIN,19.2,75.3,Lumpkin,[object GeneralizedGeometry],29966,1765,5.9,3431,11.4,2662,8.9,5021,16.8,5274
[object GeneralizedGeometry],38855,MCDUFFIE,21.9,70.3,McDuffie,[object GeneralizedGeometry],21875,1559,7.1,3178,14.5,1542,7,2608,11.9,3911
[object GeneralizedGeometry],39506,MCINTOSH,21.1,74.1,McIntosh,[object GeneralizedGeometry],14333,785,5.5,1656,11.6,1018,7.1,1400,9.8,2429
[object GeneralizedGeometry],30906,MACON,23.4,72.6,Macon,[object GeneralizedGeometry],14740,857,5.8,1762,12,1057,7.2,2104,14.3,2882
[object GeneralizedGeometry],41404,MADISON,20.5,72.4,Madison,[object GeneralizedGeometry],28120,1727,6.1,3878,13.8,2063,7.3,3111,11.1,5506
[object GeneralizedGeometry],33875,MARION,18.7,72.8,Marion,[object GeneralizedGeometry],8742,569,6.5,1137,13,669,7.7,1011,11.6,1470
[object GeneralizedGeometry],37660,MERIWETHER,25,70,Meriwether,[object GeneralizedGeometry],21992,1429,6.5,2897,13.2,1487,6.8,2532,11.5,3761
[object GeneralizedGeometry],32432,MILLER,32.3,72.9,Miller,[object GeneralizedGeometry],6125,423,6.9,778,12.7,388,6.3,697,11.4,1053
[object GeneralizedGeometry],32838,MITCHELL,18.1,71.1,Mitchell,[object GeneralizedGeometry],23498,1732,7.4,3175,13.5,1594,6.8,3112,13.2,4639
[object GeneralizedGeometry],47323,MONROE,19.3,74,Monroe,[object GeneralizedGeometry],26424,1461,5.5,3368,12.7,1820,6.9,3022,11.4,4921
[object GeneralizedGeometry],33569,MONTGOMERY,21.7,71.6,Montgomery,[object GeneralizedGeometry],9123,552,6.1,1183,13,732,8,1331,14.6,1703
[object GeneralizedGeometry],44908,MORGAN,20.1,74.8,Morgan,[object GeneralizedGeometry],17868,1026,5.7,2602,14.6,1239,6.9,1645,9.2,3342
[object GeneralizedGeometry],36928,MURRAY,21.9,72.2,Murray,[object GeneralizedGeometry],39628,2822,7.1,6018,15.2,2958,7.5,4862,12.3,8432
[object GeneralizedGeometry],41443,MUSCOGEE,19,71.6,Muscogee,[object GeneralizedGeometry],189885,14135,7.4,26206,13.8,14486,7.6,30670,16.2,36427
[object GeneralizedGeometry],51336,NEWTON,20.2,73.7,Newton,[object GeneralizedGeometry],99958,7563,7.6,16315,16.3,8086,8.1,11559,11.6,22472
[object GeneralizedGeometry],77571,OCONEE,17,77.3,Oconee,[object GeneralizedGeometry],32808,1924,5.9,5605,17.1,2593,7.9,2805,8.5,6604
[object GeneralizedGeometry],42428,OGLETHORPE,19.9,73.3,Oglethorpe,[object GeneralizedGeometry],14899,877,5.9,2026,13.6,1052,7.1,1628,10.9,2939
[object GeneralizedGeometry],63190,PAULDING,16,75.3,Paulding,[object GeneralizedGeometry],142324,11186,7.9,24804,17.4,10806,7.6,16486,11.6,35916
[object GeneralizedGeometry],41488,PEACH,22.5,69.2,Peach,[object GeneralizedGeometry],27695,1831,6.6,3426,12.4,3017,10.9,4573,16.5,4638
[object GeneralizedGeometry],50829,PICKENS,20.1,74.9,Pickens,[object GeneralizedGeometry],29431,1742,5.9,3818,13,1727,5.9,3003,10.2,5612
[object GeneralizedGeometry],39326,PIERCE,24,70.4,Pierce,[object GeneralizedGeometry],18758,1309,7,2771,14.8,1292,6.9,2002,10.7,3731
[object GeneralizedGeometry],56658,PIKE,19.7,72.6,Pike,[object GeneralizedGeometry],17869,1011,5.7,2954,16.5,1351,7.6,1753,9.8,3680
[object GeneralizedGeometry],38861,POLK,20.9,71.2,Polk,[object GeneralizedGeometry],41475,3307,8,6118,14.8,2698,6.5,5377,13,7903
[object GeneralizedGeometry],34659,PULASKI,23.5,72.2,Pulaski,[object GeneralizedGeometry],12010,707,5.9,1452,12.1,704,5.9,1372,11.4,2415
[object GeneralizedGeometry],40115,PUTNAM,22.3,72.9,Putnam,[object GeneralizedGeometry],21218,1346,6.3,2515,11.9,1168,5.5,2433,11.5,3543
[object GeneralizedGeometry],32750,QUITMAN,12.3,70,Quitman,[object GeneralizedGeometry],2513,133,5.3,301,12,147,5.8,236,9.4,396
[object GeneralizedGeometry],32995,RABUN,21.2,74.9,Rabun,[object GeneralizedGeometry],16276,817,5,1891,11.6,1089,6.7,1527,9.4,2657
[object GeneralizedGeometry],32688,RANDOLPH,22,71.9,Randolph,[object GeneralizedGeometry],7719,499,6.5,918,11.9,573,7.4,876,11.3,1195
[object GeneralizedGeometry],38952,RICHMOND,20.9,70.3,Richmond,[object GeneralizedGeometry],200549,14851,7.4,26037,13,15684,7.8,34725,17.3,36649
[object GeneralizedGeometry],54704,ROCKDALE,20.6,75.6,Rockdale,[object GeneralizedGeometry],85215,5763,6.8,12752,15,6930,8.1,9928,11.7,17370
[object GeneralizedGeometry],40612,SCHLEY,17.9,72.5,Schley,[object GeneralizedGeometry],5010,318,6.3,919,18.3,404,8.1,488,9.7,998
[object GeneralizedGeometry],34634,SCREVEN,22,70.6,Screven,[object GeneralizedGeometry],14593,993,6.8,1874,12.8,1262,8.6,1620,11.1,2556
[object GeneralizedGeometry],28909,SEMINOLE,36.4,72.9,Seminole,[object GeneralizedGeometry],8729,501,5.7,1154,13.2,571,6.5,821,9.4,1462
[object GeneralizedGeometry],40655,SPALDING,21.4,71.2,Spalding,[object GeneralizedGeometry],64073,4625,7.2,8963,14,4383,6.8,8228,12.8,12544
[object GeneralizedGeometry],37535,STEPHENS,23.9,72.7,Stephens,[object GeneralizedGeometry],26175,1620,6.2,3271,12.5,1852,7.1,3224,12.3,4504
[object GeneralizedGeometry],28222,STEWART,27.5,70,Stewart,[object GeneralizedGeometry],6058,273,4.5,472,7.8,346,5.7,1151,19,1474
[object GeneralizedGeometry],33528,SUMTER,21.6,72.5,Sumter,[object GeneralizedGeometry],32819,2367,7.2,4449,13.6,2868,8.7,5219,15.9,5792
[object GeneralizedGeometry],26750,TALBOT,22.4,70,Talbot,[object GeneralizedGeometry],6865,362,5.3,812,11.8,467,6.8,623,9.1,1096
[object GeneralizedGeometry],24390,TALIAFERRO,27,71.2,Taliaferro,[object GeneralizedGeometry],1717,96,5.6,167,9.7,112,6.5,185,10.8,271
[object GeneralizedGeometry],36520,TATTNALL,21.4,71.6,Tattnall,[object GeneralizedGeometry],25520,1496,5.9,2992,11.7,1526,6,4054,15.9,5915
[object GeneralizedGeometry],28402,TAYLOR,22.8,72.9,Taylor,[object GeneralizedGeometry],8906,543,6.1,1185,13.3,718,8.1,962,10.8,1651
[object GeneralizedGeometry],24469,TELFAIR,28.6,72.1,Telfair,[object GeneralizedGeometry],16500,946,5.7,1790,10.8,944,5.7,2225,13.5,3835
[object GeneralizedGeometry],32855,TERRELL,22.2,71.9,Terrell,[object GeneralizedGeometry],9315,669,7.2,1232,13.2,659,7.1,1166,12.5,1522
[object GeneralizedGeometry],31471,THOMAS,17.1,71.8,Thomas,[object GeneralizedGeometry],44720,3035,6.8,6158,13.8,3104,6.9,5082,11.4,8191
[object GeneralizedGeometry],37033,TIFT,24.7,72.1,Tift,[object GeneralizedGeometry],40118,2960,7.4,5737,14.3,3390,8.5,5591,13.9,7540
