weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,"Poverty: #, Population for whom poverty status is determined","Poverty: #, Population in poverty","Poverty: %, Population in poverty","Poverty: #, Population under 18 years for whom poverty status is determined","Poverty: #, Population under 18 years in poverty","Poverty: %, Population under 18 years in poverty","Poverty: #, Population 18 to 64 years for whom poverty status is determined","Poverty: #, Population 18 to 64 years in poverty","Poverty: %, Population 18 to 64 years in poverty","Poverty: #, Population 65 years and over for whom poverty status is determined"
[object GeneralizedGeometry],37033,TIFT,24.7,72.1,Tift,[object GeneralizedGeometry],38884,11372,29.2,10087,4261,42.2,23473,6232,26.5,5324
[object GeneralizedGeometry],31757,TOOMBS,23.3,72.2,Toombs,[object GeneralizedGeometry],26891,6674,24.8,7411,2477,33.4,15750,3424,21.7,3730
[object GeneralizedGeometry],35843,TOWNS,20.1,74.9,Towns,[object GeneralizedGeometry],9988,1862,18.6,1567,471,30.1,5079,1123,22.1,3342
[object GeneralizedGeometry],35960,TREUTLEN,25.7,71.6,Treutlen,[object GeneralizedGeometry],6328,1242,19.6,1356,427,31.5,3787,674,17.8,1185
[object GeneralizedGeometry],40246,TROUP,20.9,72.7,Troup,[object GeneralizedGeometry],67084,14388,21.4,17279,5367,31.1,40990,7807,19,8815
[object GeneralizedGeometry],27056,TURNER,25.2,70.8,Turner,[object GeneralizedGeometry],7984,2027,25.4,2118,910,43,4456,990,22.2,1410
[object GeneralizedGeometry],30533,TWIGGS,22.4,71.5,Twiggs,[object GeneralizedGeometry],8389,2324,27.7,1614,491,30.4,5228,1441,27.6,1547
[object GeneralizedGeometry],42125,UNION,21.6,75.7,Union,[object GeneralizedGeometry],21227,2860,13.5,3576,693,19.4,11172,1875,16.8,6479
[object GeneralizedGeometry],34905,UPSON,22.1,71.4,Upson,[object GeneralizedGeometry],25891,6137,23.7,5996,2189,36.5,15529,3396,21.9,4366
[object GeneralizedGeometry],38504,WALKER,22.4,72.1,Walker,[object GeneralizedGeometry],66520,11818,17.8,15129,3414,22.6,40748,7498,18.4,10643
[object GeneralizedGeometry],52062,WALTON,19.9,72.9,Walton,[object GeneralizedGeometry],85153,11801,13.9,22047,4642,21.1,51661,6320,12.2,11445
[object GeneralizedGeometry],34700,WARE,23.7,71.2,Ware,[object GeneralizedGeometry],33219,9686,29.2,8263,3752,45.4,19742,5205,26.4,5214
[object GeneralizedGeometry],32155,WARREN,24.3,71.6,Warren,[object GeneralizedGeometry],5483,1485,27.1,1212,511,42.2,3231,796,24.6,1040
[object GeneralizedGeometry],31441,WASHINGTON,21.9,71.3,Washington,[object GeneralizedGeometry],19128,4961,25.9,4722,1734,36.7,11443,2826,24.7,2963
[object GeneralizedGeometry],36496,WAYNE,24.6,71.9,Wayne,[object GeneralizedGeometry],27736,5633,20.3,7156,1681,23.5,16554,3548,21.4,4026
[object GeneralizedGeometry],29926,WEBSTER,20.4,70,Webster,[object GeneralizedGeometry],2708,608,22.5,634,210,33.1,1618,340,21,456
[object GeneralizedGeometry],27601,WHEELER,28.3,71.6,Wheeler,[object GeneralizedGeometry],4320,1177,27.2,1123,416,37,2350,648,27.6,847
[object GeneralizedGeometry],40720,WHITE,16.9,75,White,[object GeneralizedGeometry],27349,5195,19,5947,2047,34.4,16000,2602,16.3,5402
[object GeneralizedGeometry],41832,WHITFIELD,19.4,74.1,Whitfield,[object GeneralizedGeometry],102436,19270,18.8,27895,7578,27.2,62052,10485,16.9,12489
[object GeneralizedGeometry],31509,WILCOX,25.7,72.2,Wilcox,[object GeneralizedGeometry],6933,1599,23.1,1712,486,28.4,4046,948,23.4,1175
[object GeneralizedGeometry],28224,WILKES,26,71.2,Wilkes,[object GeneralizedGeometry],9801,2795,28.5,2136,1061,49.7,5615,1313,23.4,2050
[object GeneralizedGeometry],40331,WILKINSON,21.5,72.9,Wilkinson,[object GeneralizedGeometry],9273,1640,17.7,2187,572,26.2,5524,829,15,1562
[object GeneralizedGeometry],39205,WORTH,23.9,72.9,Worth,[object GeneralizedGeometry],20969,4445,21.2,4890,1475,30.2,12749,2665,20.9,3330
