FIPS,County,"Area, Square Miles",2010 Population,2010 White Population,% 2010 White Population,2010 Black Population,% 2010 Black Population,2010 Asian Population,% 2010 Asian Population,2010 Hispanic Population,% 2010 Hispanic Population,2010 Other Population,"Income: #, Household income less than $35,000","Income: %, Household income less than $35,000","Income: #, Household income $35,000 to $74,999","Income: %, Household income $35,000 to $74,999","Income: #, Household income $75,000 to $200,000","Income: %, Household income $75,000 to $200,000","Income: #, Household income $200,000 or more","Income: %, Household income $200,000 or more",Income: Median household income,"Total Index Crimes Reported, 2012","Violent Crimes Reported, Total, 2012","Violent Crimes Reported, % of Total, 2012","Violent Crimes Reported, Rate per 100,000,  2012","Violent Crimes Reported, Murder, 2012","Violent Crimes Reported, Rape, 2012","Violent Crimes Reported, Robbery, 2012","Violent Crimes Reported, Aggravated Assault, 2012","Educational Attainment: #, Population 25 years and over","Educational Attainment: #, Less than HS or GED","Educational Attainment: %, Less than HS or GED","Educational Attainment: #, BA or Higher","Educational Attainment: %, BA or Higher","Households receiving food stamps, June 2010","Total food stamp recipients, June 2010","Food stamp recipients, age 0-4 , June 2010","Food stamp recipients, age 5-17 , June 2010","Food stamp recipients, age 18-64 , June 2010","Food stamp recipients, age 65+ , June 2010","Households receiving food stamps, June 2012",% of adults who smoke,% of adults who are obese,% of adults who are physically inactive ,% Alcohol Impaired Deaths ,Motor Vehicle Mortality Rate,# Primary Care Physicians,Primary Care Physicians Rate,# Dentists,Dentist Rate,% Female Medicare enrollees ages 67-69 that receive mammography screenings,% Diabetic,Average healthcare costs per person,"Sexually Transmitted Diseases (STD) Cases, 2011-2013","STD Rate, per 100,000, 2011-2013",Avg # of Physically Unhealthy Days in past 30 days (age-adjusted),Avg # of Mentally Unhealthy Days  in past 30 days (age-adjusted),"Total births, 2010-2012","Birth rate, per 1,000 women age 10-55, 2010-2012","BIRTH RATE, 2010-2012","Teen births, age 15-19, 2010-2012","Birth rate, per 1,000 women age 15-19, 2010-2012","Low birth weight (<2,500 grams) births, 2010-2012","% all births that are low birth weight, 2010-2012","Premature births (<37 weeks), 2010-2012","% of all discharges for ""treatable"" illnesses, 2010-2012","Change in Birth Rate, 2010-2014","% Low Birth Weight Births, 2014","Poverty: #, Population for whom poverty status is determined","Poverty: #, Population in poverty","Poverty: %, Population in poverty","Poverty: #, Population under 18 years for whom poverty status is determined","Poverty: #, Population under 18 years in poverty","Poverty: %, Population under 18 years in poverty","Poverty: #, Population 18 to 64 years for whom poverty status is determined","Poverty: #, Population 18 to 64 years in poverty","Poverty: %, Population 18 to 64 years in poverty","Poverty: #, Population 65 years and over for whom poverty status is determined","Single Parent Families, 2010","Single Parent Families (as % of total Households), 2010","Own Children in Families, 2008-12","Children with no Parent in the Labor Force, 2008-12","% Children with no Parent in the Labor Force, 2008-12","% At Risk Youth: Not in School or Labor Force, Ages 16-19, 2010-2014 (avg)","% Children with No Parent in the Labor Force, 2010-2014 (avg)","Male life expectancy, 1985 (years)","Female life expectancy, 1985 (years)","Male life expectancy, 1990 (years)","Female life expectancy, 1990 (years)","Male life expectancy, 1995 (years)","Female life expectancy, 1995 (years)","Male life expectancy, 2000 (years)","Female life expectancy, 2000 (years)","Male life expectancy, 2005 (years)","Female life expectancy, 2005 (years)"
13043,Candler,249,10998,6949,63.2,2669,24.3,57,0.5,1227,11.2,96,2202,56.3,1073,27.4,583,14.9,51,1.3,30185,228,28,12.3,251.9,0,1,9,18,7100,1857,26.2,1092,15.4,1003,2396,419,739,1106,132,1209,20,32,31,43,22,5,46,1,9,57,15,12294,148,444,4.7,4.4,459,47,47,55,48.8,33,7.2,61,24.1,-0.4,13.2,10678,3398,31.8,2790,1304,46.7,6286,1810,28.8,1602,436,10.79,2559,192,7.5,3.4,13.9,67.3,76.4,67.6,75.6,68.3,75.7,68.8,76.3,69.6,77.1
13045,Carroll,504,110527,80531,72.9,19862,18,836,0.8,6800,6.2,2498,16418,41,13275,33.1,9688,24.2,693,1.7,43586,4036,350,8.7,313.7,3,37,74,236,69642,13689,19.7,12491,17.9,8391,20604,3349,6341,10196,718,10575,18,30,29,18,21,53,47,31,27,59,10,9902,1716,512,4.1,4,4489,40.9,40.9,538,39.3,357,8,452,14.7,-1.8,8,108629,22441,20.7,27206,7544,27.7,68078,13324,19.6,13345,4133,10.55,26432,2229,8.4,4.9,11,69.9,77.2,69.8,77.9,70.6,77.3,71.2,76.7,71.8,76.8
13047,Catoosa,162,63942,59149,92.5,1356,2.1,762,1.2,1469,2.3,1206,8349,34.9,8564,35.8,6757,28.2,273,1.1,50876,2060,132,6.4,202.9,3,8,18,103,44169,6964,15.8,8233,18.6,3657,9465,1370,2852,4839,404,4128,15,27,30,34,10,31,47,12,18,60,10,9854,334,171,3.4,3.7,2170,35.8,36.9,256,41.4,299,13.8,240,20.2,0.9,8.2,64734,8061,12.5,15603,2659,17,39337,4488,11.4,9794,2131,8.71,15076,622,4.1,3.7,4.7,71.1,78.2,71.3,78.5,71.9,78.8,73.3,78.8,73,78.6
13049,Charlton,783,12171,8116,66.7,3443,28.3,76,0.6,310,2.5,226,1503,42.7,1234,35,778,22.1,9,0.3,42778,211,18,8.5,135.4,0,2,1,15,9394,2383,25.4,935,10,857,2143,365,611,1065,102,1002,18,31,29,21,23,2,15,1,8,59,11,13087,211,528,3.8,3.7,414,43.5,43.5,65,61.6,41,9.9,50,20.6,-5.3,5.4,11672,2010,17.2,2430,504,20.7,7618,1307,17.2,1624,401,10.21,2544,158,6.2,14,11.3,67.8,76.1,68.6,76.2,69.5,75.7,70.7,76.1,70.9,76.7
13051,Chatham,633,265128,133492,50.4,105274,39.7,6229,2.3,14370,5.4,5763,39116,37.3,35007,33.4,26640,25.4,4149,4,47218,11165,1074,9.6,388.5,24,39,537,474,182813,20164,11,59541,32.6,16800,38838,7331,12733,17337,1437,22278,17,29,24,27,13,235,84,178,63,70,11,8934,8546,1034,3.8,3.8,11732,44.5,44.5,1040,37,1155,9.8,1445,20,0.9,10.2,267062,50980,19.1,60701,18038,29.7,170446,30020,17.6,35915,12034,11.68,56594,5744,10.1,6.8,10.2,67.9,75.3,69.2,76.4,70.3,77.5,72,77.6,72.5,77.9
13053,Chattahoochee,251,11267,7089,62.9,2047,18.2,231,2.1,1398,12.4,502,957,36.8,1155,44.4,474,18.2,13,0.5,43378,23,0,0,0,0,0,0,0,5205,427,8.2,1339,25.7,399,935,139,288,478,30,482,18,28,28,25,13,5,39,52,439,49,5,9279,803,2134,3.8,3.7,768,87.4,87.4,42,57.5,56,7.3,77,16.1,23,6.5,8359,960,11.5,2838,291,10.3,5128,666,13,393,387,14.41,3036,156,5.1,9.4,4.3,69.8,76.4,69.9,76.8,69.1,76.3,70.5,75.7,71.8,77.1
13055,Chattooga,314,26015,21589,83,2886,11.1,108,0.4,1043,4,389,4975,53.1,3137,33.5,1151,12.3,101,1.1,32913,533,41,7.7,159.4,0,1,0,40,17336,5074,29.3,1530,8.8,2419,5401,756,1453,2856,336,2760,19,36,28,8,29,2,8,9,36,56,12,10792,184,240,4.4,4.2,840,38.9,39,145,65.7,95,11.3,132,21.3,3.4,6.1,23200,5488,23.7,5552,1735,31.3,13828,2973,21.5,3820,869,9.1,5466,693,12.7,11,16.3,68.1,76.3,67.6,76.2,68.7,76.8,70.8,76.8,71.1,76.4
13057,Cherokee,435,214346,174243,81.3,11633,5.4,3484,1.6,20566,9.6,4420,18525,23.4,23935,30.2,32257,40.8,4416,5.6,68926,3340,206,6.2,93.1,3,35,32,136,148064,15636,10.6,51325,34.7,5241,13285,2417,4339,6046,483,7641,14,26,22,18,9,77,34,111,48,64,9,9683,1410,212,3.4,3.4,8296,38.9,38.9,423,20,627,7.6,729,15,-2,6.9,224010,24273,10.8,59044,8480,14.4,139839,14269,10.2,25127,6011,7.92,57037,2301,4,4.6,4,69.4,78.6,72.5,79,73.7,79.1,74.3,78.5,76.2,80
13059,Clarke,121,116714,66674,57.1,30695,26.3,4811,4.1,12192,10.4,2342,23067,53.2,11438,26.4,7632,17.6,1219,2.8,32162,5395,478,8.9,397.5,5,55,162,256,64822,8908,13.7,26061,40.2,8542,17769,3307,5301,8575,586,10802,20,25,25,19,9,84,69,68,56,65,10,8918,3107,866,4.6,4.4,4380,32.6,32.6,395,19,366,8.4,475,18.2,-3.5,10.9,110728,40559,36.6,20729,8159,39.4,79156,31162,39.4,10843,4074,8.97,19662,3072,15.6,2.4,10.8,70.5,76.8,70.9,78.1,72.5,78.5,72.8,78.2,73.6,79.3
13061,Clay,217,3183,1188,37.3,1920,60.3,10,0.3,26,0.8,39,782,66.1,272,23,129,10.9,0,0,20438,4,2,50,64.2,0,0,0,2,2043,415,20.3,159,7.8,447,967,153,274,464,76,515,25,31,31,0,,1,33,0,0,52,23,8119,70,755,6,5.3,103,39.3,39.3,12,47.1,13,12.6,21,18.2,14.8,13.9,3046,1285,42.2,800,480,60,1676,663,39.6,570,168,12.62,710,218,30.7,19.8,29.8,66.4,75.1,66.9,76.1,67.3,76.3,69.1,76.3,69.6,76
