weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,FIPS,County,"All hospital discharges, deduplicated, 2011-2013","All Hospital discharges, deduplicated, 2011-2013, per 100,000 pop","Discharges for cancers, deduplicated, 2011-2013","Discharge rate, per 100,00, for cancers, deduplicated, 2011-2013","Discharges for major cardiovascular diseases, deduplicated, 2011-2013","Discharge rate, per 100,000 for major cardiovascular diseases, deduplicated, 2011-2013","Discharges for Diabetes, deduplicated, 2011-2013","Discharge rate, per 100,000 for diabetes, deduplicated , 2011-2013"
[object GeneralizedGeometry],81242,FAYETTE,16,79,Fayette,[object GeneralizedGeometry],13113,Fayette,20117,6215,673,208,2819,871,237,73
[object GeneralizedGeometry],41442,FLOYD,20.3,73.4,Floyd,[object GeneralizedGeometry],13115,Floyd,32122,11154,809,281,5246,1822,516,179
[object GeneralizedGeometry],87585,FORSYTH,14.5,79.2,Forsyth,[object GeneralizedGeometry],13117,Forsyth,31961,5655,1033,183,3939,697,308,55
[object GeneralizedGeometry],32179,FRANKLIN,23,71.5,Franklin,[object GeneralizedGeometry],13119,Franklin,6198,9424,182,277,871,1324,85,129
[object GeneralizedGeometry],57664,FULTON,17.5,74.8,Fulton,[object GeneralizedGeometry],13121,Fulton,206510,7093,5896,203,25232,867,3836,132
[object GeneralizedGeometry],37257,GILMER,20.7,74.5,Gilmer,[object GeneralizedGeometry],13123,Gilmer,8389,9859,227,267,1182,1389,99,116
[object GeneralizedGeometry],32346,GLASCOCK,25.4,71.6,Glascock,[object GeneralizedGeometry],13125,Glascock,1036,11106,33,354,148,1587,21,225
[object GeneralizedGeometry],49986,GLYNN,22,72.7,Glynn,[object GeneralizedGeometry],13127,Glynn,23268,9579,693,285,3565,1468,351,145
[object GeneralizedGeometry],40661,GORDON,20.3,72.7,Gordon,[object GeneralizedGeometry],13129,Gordon,15999,9572,407,244,2636,1577,232,139
[object GeneralizedGeometry],32206,GRADY,18.2,73.3,Grady,[object GeneralizedGeometry],13131,Grady,7186,9459,182,240,895,1178,110,145
[object GeneralizedGeometry],40728,GREENE,23,74.8,Greene,[object GeneralizedGeometry],13133,Greene,4939,10195,178,367,808,1668,74,153
[object GeneralizedGeometry],61944,GWINNETT,14.6,78.2,Gwinnett,[object GeneralizedGeometry],13135,Gwinnett,144900,5736,4322,171,15884,629,1982,79
[object GeneralizedGeometry],41894,HABERSHAM,18,75.3,Habersham,[object GeneralizedGeometry],13137,Habersham,11371,8740,363,279,1621,1246,127,98
[object GeneralizedGeometry],52174,HALL,14,76.4,Hall,[object GeneralizedGeometry],13139,Hall,42424,7627,1202,216,5494,988,605,109
[object GeneralizedGeometry],22716,HANCOCK,24.5,71.6,Hancock,[object GeneralizedGeometry],13141,Hancock,2711,9940,61,224,499,1830,74,271
[object GeneralizedGeometry],39227,HARALSON,17.4,70.8,Haralson,[object GeneralizedGeometry],13143,Haralson,8634,10094,188,220,1386,1620,131,153
[object GeneralizedGeometry],68816,HARRIS,17.3,75.2,Harris,[object GeneralizedGeometry],13145,Harris,7002,7183,267,274,960,985,104,107
[object GeneralizedGeometry],35647,HART,21.1,73.7,Hart,[object GeneralizedGeometry],13147,Hart,5099,6686,169,222,760,997,67,88
[object GeneralizedGeometry],39947,HEARD,18.9,72.7,Heard,[object GeneralizedGeometry],13149,Heard,3300,9446,86,246,551,1577,51,146
[object GeneralizedGeometry],62377,HENRY,15.5,74.9,Henry,[object GeneralizedGeometry],13151,Henry,40767,6496,1166,186,5511,878,631,101
